BAD,LOAN,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC_missing,DEBTINC_median,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
1,1100,39025.0,10.5,0,0,94.0,1,9,1,34.818261819,0,1,0,0,1,0,0,0
1,1300,68400.0,7.0,0,2,122.0,0,14,1,34.818261819,0,1,0,0,1,0,0,0
1,1500,16700.0,4.0,0,0,149.0,1,10,1,34.818261819,0,1,0,0,1,0,0,0
1,1500,89235.5,7.0,0,0,180.0,1,21,1,34.818261819,1,0,0,0,1,0,0,0
0,1700,112000.0,3.0,0,0,93.0,0,14,1,34.818261819,0,1,0,1,0,0,0,0
1,1700,40320.0,9.0,0,0,101.0,1,8,0,37.113613558,0,1,0,0,1,0,0,0
1,1800,57037.0,5.0,3,2,77.0,1,17,1,34.818261819,0,1,0,0,1,0,0,0
1,1800,43034.0,11.0,0,0,89.0,0,8,0,36.884894093,0,1,0,0,1,0,0,0
1,2000,46740.0,3.0,0,2,217.0,1,12,1,34.818261819,0,1,0,0,1,0,0,0
1,2000,62250.0,16.0,0,0,116.0,0,13,1,34.818261819,0,1,0,0,0,0,1,0
1,2000,89235.5,18.0,0,0,180.0,1,21,1,34.818261819,1,0,0,0,1,0,0,0
1,2000,29800.0,11.0,0,1,123.0,1,9,1,34.818261819,0,1,0,1,0,0,0,0
1,2000,55000.0,3.0,0,0,86.0,2,25,1,34.818261819,0,1,0,0,1,0,0,0
0,2000,87400.0,2.5,0,0,147.0,0,24,1,34.818261819,1,0,1,0,0,0,0,0
1,2100,83850.0,8.0,0,1,123.0,0,16,1,34.818261819,0,1,0,0,1,0,0,0
1,2200,34687.0,7.0,0,1,301.0,0,8,1,34.818261819,0,1,0,0,1,0,0,0
1,2200,102600.0,7.0,2,6,123.0,1,22,1,34.818261819,0,1,1,0,0,0,0,0
1,2200,89235.5,19.0,0,0,180.0,1,21,0,3.7113122995,1,0,0,0,1,0,0,0
1,2300,40150.0,4.5,0,0,55.0,1,16,1,34.818261819,0,1,0,0,1,0,0,0
0,2300,120953.0,2.0,0,0,91.0,0,13,0,31.588503178,0,1,0,1,0,0,0,0
1,2300,46200.0,3.0,0,1,122.0,1,14,1,34.818261819,0,1,0,0,1,0,0,0
1,2400,73395.0,5.0,1,0,72.0,1,0,1,34.818261819,0,1,0,0,0,1,0,0
1,2400,40800.0,12.0,0,0,67.0,2,22,1,34.818261819,0,1,1,0,0,0,0,0
1,2400,89235.5,22.0,0,2,122.0,0,10,1,34.818261819,0,1,1,0,0,0,0,0
1,2400,17180.0,7.0,0,0,15.0,3,4,1,34.818261819,0,1,0,0,1,0,0,0
1,2400,47471.0,12.0,0,0,70.0,1,21,0,38.263600731,0,1,1,0,0,0,0,0
0,2400,117195.0,4.0,0,0,94.0,0,13,0,29.681827045,0,1,0,1,0,0,0,0
1,2500,20200.0,18.0,0,0,136.0,1,19,1,34.818261819,0,1,0,0,1,0,0,0
1,2500,36350.0,10.0,1,2,277.0,0,9,1,34.818261819,0,1,0,0,1,0,0,0
0,2500,44516.0,7.0,0,0,208.0,0,12,1,34.818261819,0,1,0,0,0,0,0,1
0,2500,78600.0,8.0,0,0,256.0,0,12,1,34.818261819,0,1,0,0,0,1,0,0
1,2800,63100.0,26.0,2,15,146.0,3,45,1,34.818261819,0,1,0,0,0,0,0,1
1,2800,60850.0,16.0,4,0,113.0,2,9,1,34.818261819,0,1,0,0,1,0,0,0
1,2900,113000.0,6.0,1,0,165.0,2,26,1,34.818261819,1,0,0,0,0,1,0,0
0,2900,112505.0,1.0,0,0,96.0,0,13,0,30.051136286,0,1,0,1,0,0,0,0
0,2900,120702.0,2.0,0,0,102.0,0,13,0,29.915859028,0,1,0,1,0,0,0,0
1,2900,67996.0,16.0,3,0,122.0,2,8,0,36.211347998,0,1,0,0,1,0,0,0
1,2900,70915.0,2.0,0,0,283.0,3,37,0,49.20639579,1,0,1,0,0,0,0,0
0,3000,121729.0,2.0,0,0,86.0,0,14,0,32.059783267,0,1,0,1,0,0,0,0
1,3000,20300.0,3.0,0,0,51.0,5,9,1,34.818261819,0,1,0,0,1,0,0,0
1,3000,8800.0,2.0,0,1,78.0,0,3,1,34.818261819,0,1,0,0,1,0,0,0
1,3000,33000.0,1.0,0,1,23.0,1,2,1,34.818261819,0,1,0,0,1,0,0,0
1,3000,193500.0,8.0,0,0,130.0,0,27,1,34.818261819,0,1,0,0,1,0,0,0
1,3000,29750.0,2.0,0,0,187.0,0,12,1,34.818261819,1,0,0,0,1,0,0,0
1,3000,14500.0,3.0,0,0,9.0,14,2,1,34.818261819,0,1,0,0,1,0,0,0
1,3000,14100.0,1.0,0,0,104.0,0,19,1,34.818261819,0,1,0,0,1,0,0,0
1,3000,82700.0,10.0,0,1,262.0,5,26,1,34.818261819,0,1,0,0,0,1,0,0
1,3000,45900.0,8.5,0,2,62.0,0,10,1,34.818261819,0,1,1,0,0,0,0,0
0,3000,71500.0,10.0,0,2,212.0,0,25,1,34.818261819,0,1,1,0,0,0,0,0
0,3000,56400.0,21.0,0,0,202.0,0,20,1,34.818261819,0,1,0,1,0,0,0,0
1,3100,36100.0,1.5,0,0,153.0,1,14,1,34.818261819,0,1,0,0,1,0,0,0
0,3100,70400.0,7.0,0,0,180.0,1,21,1,34.818261819,1,0,0,0,1,0,0,0
0,3200,74566.0,10.0,0,1,206.0,0,25,0,40.115677278,0,1,1,0,0,0,0,0
1,3200,61000.0,28.0,0,4,122.0,1,25,1,34.818261819,0,1,0,0,0,1,0,0
1,3200,40834.0,7.0,0,0,298.0,0,7,0,35.553538789,0,1,0,0,1,0,0,0
1,3200,64850.0,1.0,0,0,122.0,3,21,1,34.818261819,0,1,0,0,1,0,0,0
0,3200,87266.0,7.0,0,0,251.0,0,12,0,42.909997351,0,1,0,0,0,1,0,0
1,3200,89235.5,20.0,0,2,118.0,0,9,0,0.5244992154,0,1,1,0,0,0,0,0
1,3300,134527.0,9.0,1,0,139.0,0,36,1,34.818261819,0,1,0,0,0,0,1,0
1,3300,164317.0,9.0,0,6,192.0,0,33,0,35.73055919,1,0,0,0,1,0,0,0
1,3400,52000.0,2.0,0,1,183.0,0,6,1,34.818261819,0,1,0,1,0,0,0,0
1,3500,38666.0,11.0,0,0,162.0,0,14,1,34.818261819,0,1,0,0,1,0,0,0
1,3500,20494.0,5.0,0,0,96.0,0,9,1,34.818261819,0,1,0,0,1,0,0,0
1,3600,61800.0,10.0,0,0,180.0,1,21,1,34.818261819,0,1,0,0,0,1,0,0
1,3600,52490.0,3.0,0,0,72.0,2,4,1,34.818261819,0,1,1,0,0,0,0,0
0,3600,111800.0,6.0,0,0,193.0,1,28,1,34.818261819,0,1,0,0,0,1,0,0
0,3600,76484.0,9.0,0,2,203.0,0,25,0,41.516389699,0,1,1,0,0,0,0,0
0,3600,114743.0,6.0,0,0,88.0,0,14,0,29.393543382,0,1,0,1,0,0,0,0
1,3600,61000.0,13.0,1,4,97.0,0,17,1,34.818261819,1,0,0,1,0,0,0,0
0,3600,63989.0,20.0,0,0,204.0,0,20,0,20.470915508,0,1,0,1,0,0,0,0
1,3700,21144.0,5.0,0,0,130.0,1,9,0,26.634347518,0,1,0,0,1,0,0,0
1,3800,97692.0,1.6,1,6,253.0,1,25,1,34.818261819,0,1,1,0,0,0,0,0
0,3800,63459.0,20.0,0,0,204.0,0,20,0,20.067042051,0,1,0,1,0,0,0,0
0,3800,73189.0,7.0,0,0,180.0,1,21,0,22.253949156,1,0,0,0,1,0,0,0
0,3800,46045.0,7.0,0,0,205.0,0,11,0,42.173165882,0,1,0,0,0,0,0,1
1,3900,45960.0,11.0,0,0,146.0,0,14,0,24.478881191,0,1,0,0,1,0,0,0
1,3900,22092.0,3.5,0,1,150.0,5,8,1,34.818261819,0,1,0,0,1,0,0,0
0,3900,63000.0,8.0,0,4,172.0,1,31,1,34.818261819,1,0,0,0,0,1,0,0
0,3900,118742.0,2.0,0,0,85.0,0,13,0,29.343921089,0,1,0,1,0,0,0,0
1,3900,39000.0,4.0,0,1,87.0,2,14,1,34.818261819,1,0,1,0,0,0,0,0
0,4000,112774.0,1.0,0,0,95.0,0,13,0,29.390928055,0,1,0,1,0,0,0,0
0,4000,61777.0,21.0,0,0,206.0,0,19,0,21.806563464,0,1,0,1,0,0,0,0
1,4000,80609.0,1.5,0,2,127.0,3,12,1,34.818261819,0,1,0,0,1,0,0,0
1,4000,31960.0,11.0,0,0,118.0,0,8,0,41.286491948,0,1,0,1,0,0,0,0
