BAD,LOAN,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,REASON_HomeImp
0,46300,178823.0,11.0,0,0,188.0,0,3,40.915141271,0.0,0.0,0.0,0.0,1.0,0.0
0,8300,86945.0,14.0,0,0,221.0,0,17,25.194297211,0.0,0.0,1.0,0.0,0.0,0.0
1,10000,125500.0,8.0,0,0,80.0,3,21,34.749171693,1.0,0.0,0.0,0.0,0.0,0.0
0,15800,79736.0,7.0,0,0,250.0,0,50,42.435562666,0.0,1.0,0.0,0.0,0.0,1.0
1,37000,145000.0,15.0,1,2,369.0,1,27,34.749171693,0.0,0.0,0.0,1.0,0.0,0.0
0,10600,203341.0,14.0,0,0,12.0,6,7,18.732089739,0.0,0.0,0.0,0.0,1.0,1.0
0,31100,188264.0,1.0,1,0,228.0,2,19,38.518644882,0.0,0.0,1.0,0.0,0.0,0.0
0,8500,88588.0,10.0,0,0,115.0,0,23,30.082488981,0.0,0.0,0.0,0.0,0.0,0.0
0,26100,208432.0,23.0,0,0,203.0,0,18,23.290234477,0.0,1.0,0.0,0.0,0.0,0.0
1,17600,95605.0,3.0,2,1,85.0,6,30,47.840295122,0.0,1.0,0.0,0.0,0.0,0.0
1,10000,48600.0,24.0,0,0,269.0,1,16,34.749171693,0.0,1.0,0.0,0.0,0.0,0.0
0,21400,167824.0,6.0,0,0,180.0,0,38,17.495700487,0.0,0.0,1.0,0.0,0.0,0.0
0,12100,76724.0,3.0,0,1,235.0,1,16,37.639252934,0.0,1.0,0.0,0.0,0.0,1.0
0,17400,66782.0,27.0,0,0,273.0,1,16,39.383064504,0.0,0.0,0.0,0.0,0.0,0.0
0,12000,126479.0,8.0,0,0,181.0,1,21,38.928315685,0.0,1.0,0.0,0.0,0.0,1.0
0,25900,239546.0,6.0,0,0,135.0,0,42,40.398114335,0.0,1.0,0.0,0.0,0.0,1.0
0,8600,84263.0,21.0,0,0,353.0,0,47,28.196714905,0.0,1.0,0.0,0.0,0.0,1.0
0,27600,117581.0,10.0,0,0,165.0,0,27,34.998727775,0.0,0.0,0.0,0.0,0.0,0.0
0,21600,54212.0,7.0,0,1,303.0,0,19,34.749171693,0.0,1.0,0.0,0.0,0.0,0.0
0,7300,205981.0,1.0,0,0,60.0,2,22,36.812290634,0.0,0.0,1.0,0.0,0.0,0.0
1,5900,33100.0,7.0,0,0,239.0,1,2,34.749171693,0.0,1.0,0.0,0.0,0.0,1.0
0,17100,128989.0,11.0,0,0,368.0,0,9,40.640916113,0.0,1.0,0.0,0.0,0.0,0.0
0,19400,106271.0,6.0,0,0,129.0,0,14,31.922154922,0.0,1.0,0.0,0.0,0.0,1.0
0,15700,67964.0,6.0,0,0,156.0,2,12,28.797918584,0.0,0.0,1.0,0.0,0.0,0.0
0,16700,56465.0,3.0,0,0,301.0,0,15,18.251480864,0.0,0.0,1.0,0.0,0.0,0.0
0,43200,60925.0,19.0,0,0,212.0,0,30,40.460675816,0.0,1.0,0.0,0.0,0.0,0.0
0,20500,65004.0,1.0,0,0,120.0,0,17,22.52545512,0.0,1.0,0.0,0.0,0.0,0.0
0,9600,56900.0,7.0,0,0,181.0,1,21,14.435238785,0.0,1.0,0.0,0.0,0.0,0.0
0,21100,95621.0,19.0,0,0,626.0,0,24,20.01032357,0.0,0.0,1.0,0.0,0.0,1.0
0,29300,291314.0,16.0,0,1,260.0,2,26,28.173645541,0.0,0.0,1.0,0.0,0.0,0.0
1,10000,132965.0,30.0,0,0,326.0,1,24,34.749171693,0.0,0.0,0.0,1.0,0.0,0.0
0,8700,87898.0,4.0,0,0,210.0,4,30,32.743007077,0.0,1.0,0.0,0.0,0.0,0.0
0,22900,92258.0,3.0,1,0,85.0,2,29,33.68409323,0.0,1.0,0.0,0.0,0.0,0.0
0,14700,94245.0,5.0,3,0,79.0,0,21,25.430314939,0.0,1.0,0.0,0.0,0.0,0.0
0,10200,68673.0,6.0,0,0,117.0,3,23,42.775643911,0.0,0.0,0.0,0.0,0.0,0.0
1,5400,63450.0,5.0,0,1,200.0,1,20,34.749171693,0.0,0.0,1.0,0.0,0.0,1.0
0,37600,71282.0,4.0,0,0,202.0,2,18,25.196524185,0.0,0.0,1.0,0.0,0.0,0.0
1,15100,77542.0,13.0,1,1,123.0,1,26,34.749171693,0.0,0.0,1.0,0.0,0.0,1.0
1,13000,200000.0,3.0,0,2,196.0,1,50,34.749171693,0.0,0.0,0.0,0.0,0.0,0.0
0,18300,60249.0,16.0,0,0,111.0,0,18,40.00125599,0.0,1.0,0.0,0.0,0.0,0.0
1,19000,118000.0,1.0,0,0,41.0,0,10,34.749171693,1.0,0.0,0.0,0.0,0.0,0.0
0,20200,65211.0,10.0,0,2,119.0,1,22,43.454512149,1.0,0.0,0.0,0.0,0.0,0.0
0,35600,46697.0,7.0,0,0,45.0,0,6,36.062827417,0.0,0.0,0.0,0.0,0.0,0.0
0,5100,87361.0,0.0,2,0,290.0,0,6,38.766985071,0.0,1.0,0.0,0.0,0.0,1.0
0,21500,111500.0,24.0,0,0,244.0,1,27,34.749171693,0.0,1.0,0.0,0.0,0.0,0.0
1,27700,116468.0,9.0,0,0,313.0,0,36,35.96802437,0.0,1.0,0.0,0.0,0.0,0.0
0,6400,58157.0,0.0,0,0,105.0,0,13,36.416886965,0.0,1.0,0.0,0.0,0.0,1.0
0,16200,92595.0,2.0,0,0,178.0,0,25,22.21960047,1.0,0.0,0.0,0.0,0.0,0.0
0,18600,212530.0,4.0,1,0,202.0,0,17,27.07376116,0.0,1.0,0.0,0.0,0.0,0.0
0,10300,86200.0,17.0,0,0,204.0,0,16,34.435246045,0.0,1.0,0.0,0.0,0.0,1.0
0,26900,78854.0,11.0,0,0,132.0,0,19,41.130706684,0.0,1.0,0.0,0.0,0.0,0.0
0,69700,294367.0,10.0,0,0,231.0,2,25,28.201870511,0.0,0.0,0.0,0.0,1.0,0.0
1,16500,88772.0,9.0,0,1,218.0,0,19,34.749171693,1.0,0.0,0.0,0.0,0.0,0.0
0,28500,130522.0,10.0,0,0,138.0,0,29,39.072589176,1.0,0.0,0.0,0.0,0.0,0.0
0,17200,109238.0,3.0,0,0,116.0,1,25,38.948918735,0.0,0.0,1.0,0.0,0.0,1.0
0,20500,230000.0,2.0,0,0,289.0,1,27,34.749171693,0.0,0.0,1.0,0.0,0.0,0.0
0,23500,179434.0,6.0,0,1,195.0,4,43,39.94505447,0.0,0.0,1.0,0.0,0.0,0.0
0,19900,107598.0,10.0,0,0,203.0,2,13,30.957516266,1.0,0.0,0.0,0.0,0.0,0.0
0,18700,94454.0,0.0,0,0,161.0,3,20,32.784193505,1.0,0.0,0.0,0.0,0.0,0.0
0,27200,126368.0,0.0,1,0,187.0,3,38,34.81068944,0.0,0.0,1.0,0.0,0.0,0.0
0,9700,70398.0,4.0,0,0,239.0,1,16,38.867248989,0.0,1.0,0.0,0.0,0.0,1.0
0,10000,23400.0,28.0,0,0,207.0,1,5,34.749171693,0.0,1.0,0.0,0.0,0.0,1.0
0,25100,48375.0,28.0,0,0,303.0,1,13,31.688818252,0.0,1.0,0.0,0.0,0.0,0.0
0,26100,35271.0,9.0,0,0,97.0,0,14,23.318650008,0.0,1.0,0.0,0.0,0.0,0.0
