BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,46300,120636.0,178823.0,DebtCon,Self,11.0,0,0,188.0,0,3,40.915141271
0,8300,67715.0,86945.0,DebtCon,ProfExe,14.0,0,0,221.0,0,17,25.194297211
1,10000,99600.0,125500.0,DebtCon,Office,8.0,0,0,80.0,3,21,34.749171693
0,15800,25344.0,79736.0,HomeImp,Other,7.0,0,0,250.0,0,50,42.435562666
1,37000,93378.0,145000.0,DebtCon,Sales,15.0,1,2,369.0,1,27,34.749171693
0,10600,80397.0,203341.0,HomeImp,Self,14.0,0,0,12.0,6,7,18.732089739
0,31100,136521.0,188264.0,DebtCon,ProfExe,1.0,1,0,228.0,2,19,38.518644882
0,8500,73208.0,88588.0,DebtCon,Mgr,10.0,0,0,115.0,0,23,30.082488981
0,26100,103949.0,208432.0,DebtCon,Other,23.0,0,0,203.0,0,18,23.290234477
1,17600,76043.0,95605.0,DebtCon,Other,3.0,2,1,85.0,6,30,47.840295122
1,10000,16288.0,48600.0,DebtCon,Other,24.0,0,0,269.0,1,16,34.749171693
0,21400,128095.0,167824.0,DebtCon,ProfExe,6.0,0,0,180.0,0,38,17.495700487
0,12100,58556.0,76724.0,HomeImp,Other,3.0,0,1,235.0,1,16,37.639252934
0,17400,49765.0,66782.0,DebtCon,Mgr,27.0,0,0,273.0,1,16,39.383064504
0,12000,83560.0,126479.0,HomeImp,Other,8.0,0,0,181.0,1,21,38.928315685
0,25900,201877.0,239546.0,HomeImp,Other,6.0,0,0,135.0,0,42,40.398114335
0,8600,75464.0,84263.0,HomeImp,Other,21.0,0,0,353.0,0,47,28.196714905
0,27600,64799.0,117581.0,DebtCon,Mgr,10.0,0,0,165.0,0,27,34.998727775
0,21600,64799.0,54212.0,DebtCon,Other,7.0,0,1,303.0,0,19,34.749171693
0,7300,139348.0,205981.0,DebtCon,ProfExe,1.0,0,0,60.0,2,22,36.812290634
1,5900,64799.0,33100.0,HomeImp,Other,7.0,0,0,239.0,1,2,34.749171693
0,17100,22162.0,128989.0,DebtCon,Other,11.0,0,0,368.0,0,9,40.640916113
0,19400,39928.0,106271.0,HomeImp,Other,6.0,0,0,129.0,0,14,31.922154922
0,15700,46124.0,67964.0,DebtCon,ProfExe,6.0,0,0,156.0,2,12,28.797918584
0,16700,12830.0,56465.0,DebtCon,ProfExe,3.0,0,0,301.0,0,15,18.251480864
0,43200,15635.0,60925.0,DebtCon,Other,19.0,0,0,212.0,0,30,40.460675816
0,20500,37437.0,65004.0,DebtCon,Other,1.0,0,0,120.0,0,17,22.52545512
0,9600,64799.0,56900.0,DebtCon,Other,7.0,0,0,181.0,1,21,14.435238785
0,21100,63955.0,95621.0,HomeImp,ProfExe,19.0,0,0,626.0,0,24,20.01032357
0,29300,228059.0,291314.0,DebtCon,ProfExe,16.0,0,1,260.0,2,26,28.173645541
1,10000,84000.0,132965.0,DebtCon,Sales,30.0,0,0,326.0,1,24,34.749171693
0,8700,50711.0,87898.0,DebtCon,Other,4.0,0,0,210.0,4,30,32.743007077
0,22900,64803.0,92258.0,DebtCon,Other,3.0,1,0,85.0,2,29,33.68409323
0,14700,76931.0,94245.0,DebtCon,Other,5.0,3,0,79.0,0,21,25.430314939
0,10200,51108.0,68673.0,DebtCon,Mgr,6.0,0,0,117.0,3,23,42.775643911
1,5400,59720.0,63450.0,HomeImp,ProfExe,5.0,0,1,200.0,1,20,34.749171693
0,37600,33388.0,71282.0,DebtCon,ProfExe,4.0,0,0,202.0,2,18,25.196524185
1,15100,54000.0,77542.0,HomeImp,ProfExe,13.0,1,1,123.0,1,26,34.749171693
1,13000,177000.0,200000.0,DebtCon,Mgr,3.0,0,2,196.0,1,50,34.749171693
0,18300,31427.0,60249.0,DebtCon,Other,16.0,0,0,111.0,0,18,40.00125599
1,19000,93050.0,118000.0,DebtCon,Office,1.0,0,0,41.0,0,10,34.749171693
0,20200,45088.0,65211.0,DebtCon,Office,10.0,0,2,119.0,1,22,43.454512149
0,35600,20552.0,46697.0,DebtCon,Mgr,7.0,0,0,45.0,0,6,36.062827417
0,5100,66834.0,87361.0,HomeImp,Other,0.0,2,0,290.0,0,6,38.766985071
0,21500,90000.0,111500.0,DebtCon,Other,24.0,0,0,244.0,1,27,34.749171693
1,27700,85285.0,116468.0,DebtCon,Other,9.0,0,0,313.0,0,36,35.96802437
0,6400,47251.0,58157.0,HomeImp,Other,0.0,0,0,105.0,0,13,36.416886965
0,16200,62258.0,92595.0,DebtCon,Office,2.0,0,0,178.0,0,25,22.21960047
0,18600,119741.0,212530.0,DebtCon,Other,4.0,1,0,202.0,0,17,27.07376116
0,10300,51787.0,86200.0,HomeImp,Other,17.0,0,0,204.0,0,16,34.435246045
0,26900,47882.0,78854.0,DebtCon,Other,11.0,0,0,132.0,0,19,41.130706684
0,69700,191972.0,294367.0,DebtCon,Self,10.0,0,0,231.0,2,25,28.201870511
1,16500,94403.0,88772.0,DebtCon,Office,9.0,0,1,218.0,0,19,34.749171693
0,28500,100145.0,130522.0,DebtCon,Office,10.0,0,0,138.0,0,29,39.072589176
0,17200,85977.0,109238.0,HomeImp,ProfExe,3.0,0,0,116.0,1,25,38.948918735
0,20500,183000.0,230000.0,DebtCon,ProfExe,2.0,0,0,289.0,1,27,34.749171693
0,23500,146371.0,179434.0,DebtCon,ProfExe,6.0,0,1,195.0,4,43,39.94505447
0,19900,68830.0,107598.0,DebtCon,Office,10.0,0,0,203.0,2,13,30.957516266
0,18700,66891.0,94454.0,DebtCon,Office,0.0,0,0,161.0,3,20,32.784193505
0,27200,97541.0,126368.0,DebtCon,ProfExe,0.0,1,0,187.0,3,38,34.81068944
0,9700,59633.0,70398.0,HomeImp,Other,4.0,0,0,239.0,1,16,38.867248989
0,10000,64799.0,23400.0,HomeImp,Other,28.0,0,0,207.0,1,5,34.749171693
0,25100,28244.0,48375.0,DebtCon,Other,28.0,0,0,303.0,1,13,31.688818252
0,26100,64799.0,35271.0,DebtCon,Other,9.0,0,0,97.0,0,14,23.318650008
1,21200,70000.0,101250.0,DebtCon,Other,1.0,1,0,44.0,7,49,34.749171693
1,23000,47000.0,78000.0,DebtCon,Other,17.8,2,1,100.0,0,28,34.749171693
0,22400,38669.0,105881.0,HomeImp,Other,6.0,0,0,125.0,0,14,32.778270828
0,8200,64799.0,49331.0,HomeImp,Other,9.0,0,0,306.0,2,12,33.718613864
0,36500,141200.0,195729.0,DebtCon,ProfExe,23.0,0,0,183.0,0,22,37.405509575
0,32600,79874.0,125000.0,DebtCon,Mgr,30.0,0,0,341.0,0,20,34.749171693
0,34000,57025.0,103563.0,DebtCon,Office,3.0,0,0,173.0,2,24,36.91389765
0,21700,45640.0,67023.0,DebtCon,Other,25.0,0,0,294.0,1,32,34.285372575
0,18300,26982.0,59552.0,DebtCon,ProfExe,15.0,0,0,184.0,1,19,36.299617975
0,33900,128884.0,172094.0,DebtCon,Mgr,12.0,1,0,167.0,1,27,42.318899224
1,13900,144263.0,167164.0,DebtCon,ProfExe,8.0,2,6,112.0,5,38,91.612599977
1,1800,48649.0,57037.0,HomeImp,Other,5.0,3,2,77.0,1,17,34.749171693
0,24400,80065.0,118423.0,DebtCon,ProfExe,8.0,0,1,127.0,0,18,26.273908099
0,8400,85136.0,125912.0,HomeImp,Other,9.0,0,0,181.0,1,21,40.715178041
0,8100,48781.0,50434.0,HomeImp,Other,5.0,0,0,76.0,0,18,24.545192137
0,20300,37056.0,55027.0,DebtCon,Other,7.0,0,0,224.0,0,13,40.326049305
0,8300,44783.0,63424.0,HomeImp,Other,2.0,0,0,98.0,2,12,36.587869801
1,20000,151982.0,88772.0,DebtCon,Self,7.0,2,5,146.0,1,43,34.749171693
1,2500,15000.0,20200.0,HomeImp,Other,18.0,0,0,136.0,1,19,34.749171693
0,14200,46320.0,62044.0,DebtCon,Other,6.0,0,0,107.0,2,49,29.057908417
0,8400,43900.0,55000.0,DebtCon,Office,1.0,0,0,169.0,1,21,34.749171693
1,8700,57141.0,70244.0,HomeImp,Other,8.0,0,0,107.0,0,19,31.891314262
0,26500,240782.0,267675.0,HomeImp,Self,6.0,0,0,229.0,1,50,37.740918996
0,25400,138132.0,243327.0,HomeImp,ProfExe,27.0,0,0,350.0,0,19,37.820054519
0,11800,57760.0,65535.0,DebtCon,Mgr,11.0,0,0,108.0,1,18,32.783483568
1,15700,83761.0,125860.0,HomeImp,Other,1.0,0,0,294.0,0,0,34.749171693
0,10800,125732.0,184667.0,DebtCon,Other,7.0,0,0,212.0,0,19,33.920789966
0,9000,8221.0,38290.0,DebtCon,Other,4.0,0,0,266.0,0,12,23.703067187
1,17900,70046.0,135917.0,DebtCon,Self,1.0,1,2,138.0,0,16,38.289202295
0,25100,64799.0,59783.0,DebtCon,Other,7.0,0,0,308.0,0,19,39.277021984
0,7100,120176.0,180104.0,DebtCon,Other,8.0,0,0,222.0,0,18,32.674358967
0,13300,153411.0,182014.0,DebtCon,ProfExe,7.0,0,0,198.0,3,25,41.987115537
0,45700,118247.0,174711.0,DebtCon,Self,11.0,0,0,171.0,0,5,37.730751386
0,11400,55965.0,78051.0,DebtCon,Office,6.0,0,0,96.0,2,14,27.173232225
0,22600,59050.0,99152.0,DebtCon,ProfExe,0.0,0,0,195.0,0,26,33.404212205
0,21500,141688.0,184241.0,HomeImp,Mgr,8.0,0,0,311.0,0,16,44.590155228
0,21800,90065.0,122335.0,DebtCon,Self,3.0,0,0,213.0,1,26,34.84691939
